项目审查要点分析表,,,
说明：标黄内容需人工审查，其他内容可过计算机辅助,,,
序号,项目阶段,审查文档,审查要点
1,前期阶段,立项审批文件,是否有项目立项审批文件（内部审批、外部审批）
2,,,检查项目立项资料（包括基层调研资、第三方咨询报告、专家论证资料、问卷调查资料、同类采购项目历史成交信息等）
3,,,检查项目是否按照财政部制定的《政府采购品目分类目录》确定采购项目属性
4,,,检查是否存在多个同类型政务信息系统
5,,,批复采购方式是否符合政府采购法或相关规定
6,,概（预）算文件,是否有概（预）算编制报告
7,,,是否有概（预）算审核报告
8,采购阶段,采购文件,实际采购方式是否与批复采购方式一致
9,,,采购限额标准是否执行
10,,,采购文件中的投标人资格要求是否符合相关规定
11,,,采购公告是否按照规定在指定媒体上发布
12,,,开标时间是否符合政府采购法的相关规定
13,,,是否明确投标人的大、中、小企业规定
14,,,是否明确采购内容的所属行业（需要区分2021年1月前和后的）
15,,,投标保证金的金额设置是否合理，是否不超过预算总金额的2%
16,,,商务需求是否包括交付（实施）的时间（期限）和地点（范围），付款条件（进度和方式），包装和运输，售后服务，保险等
17,,,技术需求是否包含采购标的的功能和质量要求，包括性能、材料、结构、外观、安全，或者服务内容和标准等。
18,,,政务信息系统政府采购项目是否制定项目运行维护要求、数据共享要求、安全审查和保密要求、等级保护要求、分级保护要求、需落实的政府采购政策和履约验收方案等内容。
19,,,针对货物类信项目，检查采购需求书中的合同模板是否参照财政部制发的政府采购货物买卖合同模板。
20,,,检查政府集中采购目录内采用“国e采”采购方式的采购需求书是否使用中央国家机关政府采购中心指定框架。
21,,,采购文件是否设置核心产品
22,,,"检查商务需求是否存在以下情况：
（1）指向、限定或指定特定供应商、特定产品等；
（2）以限定供应商注册地、要求供应商在当地设立分支机构等方式阻碍外地供应商进入本地市场；
（3）以供应商注册资本、资产总额、营业收入、经营年限、从业人员等不合理条件对中小企业实行差别歧视待遇；
（4）以供应商所有制形式、组织形式、股权结构、投资者国别等不合理条件对外资企业实行差别歧视待遇。
"
23,,,"检查技术需求是否将除进口货物以外的生产厂家授权、承诺、证明、背书等作为资格要求，对投标（响应）人实行差别待遇或者歧视待遇。
"
24,,,打包招标的合理性：不同类别的项目，如货物类产品、定制开发软件产品、服务项目应分开分包招标。
25,,,一个项目如有多个包：不同类别的项目包，应有针对性地使用不同的采购文件和评分标准。
26,,,是否规避公开招标行为：多个项目采购内容相似，却按照独立的项目，采用公开招标以外的其他采购方式
27,,,采购最高限价是否不超过预算批复金额，是否在审核限价范围内
28,,,核查采购文件资格调价设置和评分因素设置是否合规
29,,,检查评分标准中价格分值设定是否合规，货物类信息化项目价格分是否不是30分，服务类信息化项目价格分是否不是10分。
30,,,付款方式是否合理
31,,,软件版权和源代码归属在合同模板中要明确说明；合同模板中开发期限要明确，纠纷解决方式要明确。
32,,质疑、答复、投诉文档,"检查质疑及质疑答复资料，质疑答复时间是否符合规定。
检查是否存在投诉。"
33,,投标文件,采购内容是否在营业执照允许的经营范围之内
34,,,不同的投标人投标文件内容是否有异常一致的情况
35,,,不同投标人的投标文件，查看投标文件电子版，文档作者是否一致
36,,,各投标人的投标文件中，投标函中的公司信息，如地址、邮编、电话、传真、银行账户、授权代表等信息是否有雷同。
37,,,不同投标人之间是否存在同一个法人、或是控股关系。
38,,评标报告,核查评标专家组成是否合规
39,,,客观分评分是否一致
40,,,"评标专家进行评审分值时，在没有合理理由的情况下，是否存在有意给某一投标人高分值而压低其他投标人分值，或不按照采购文件规定打分的情况。
检查采购评审书面资料，如采购人代表给中标（成交）人打分偏离其他专家打分均分，或给未中标（成交）人打分异常。"
41,,,评分过程中分值计算是否正确
42,,,针对采购文件中的无效投标条款，是否有投标文件涉嫌无效投标，而评标时仍进行评分
43,,,针对采购文件中投标人必须满足的要求，各投标人的投标文件对采购文件提出的要求和条件是否作出实质性响应
44,,,核对投标文件技术偏离表中招标要求是否与正式采购文件一致，技术偏离情况是否属实
45,,,核查采购文件是否齐全，是否存在隐匿、违规销毁采购文件或者伪造、变造采购文件
46,,,中标公示如涉及到中小企业的，则需要公开《中小企业声明函》
47,合同阶段,合同文件,合同条款是否符合《中华人民共和国合同法》相关规定；是否符合采购文件中合同草案条款的要求(如：合同中需要有1. 当事人的名称或者姓名和住所。2. 标的。3. 数量。4.质量。5. 价款或者报酬。6. 履行期限、地点和方式。7. 违约责任。8. 解决争议的方法)
48,,,是否在规定期限内签订正式合同
49,,,合同金额是否不超过中标金额、是否在审核预算限价范围内
50,,,软件项目中软件版权和源代码归属是否明确
